name,description,status,created,ministry
Justice Services Branch FAMS3,"The Justice Services Branch FAMS3 project provides an integration layer facilitating requests for information from external third APIs on persons sought as a part of the FMEP process. ",active,2021-03-12T08:26:06.446Z,PSSG
DevOps Verifiable Credentials,Verifiable Credentials for Privileged Users on the DevOps Platform,active,2021-03-06T00:42:20.493Z,CITZ
Executive Support System,A Drupal application to enable the day to day operations of a senior executive office,active,2022-02-04T02:12:55.693Z,FIN
BC Parks,"A cutting edge web platform that will function as a highly accessible, unified source of open information for BC Parks, while providing the utmost convenience and efficiency for both BC Parks visitors and staff.",active,2021-03-16T07:10:08.161Z,ENV
BCGNWS Static Content Servers,"The BC Geographical Names Web Service (BCGNWS) offers searchable access to geographical names of British Columbia sourced from the BC Geographical Names Information System.
Dev, Test, Prod namespaces host static file servers (while other components of the app still run in oficat tomcat server on phecda, megrez and alkaid respectively). See https://github.com/bcgov-dss/loc-tools/blob/main/ocp-namespace-docs/e80f9d-namespace.md",active,2022-02-24T07:08:23.314Z,CITZ
CSB Sheriff Scheduling System,Court Services Branch Sheriff Scheduling System is an online scheduling system allowing Sheriff's to schedule staff into their duty roster.,active,2021-02-12T16:39:49.079Z,AG
Cloud Pathfinder,"Utilities for Cloud Pathfinder team.  Please use license plate ""tnfhhm""",active,2021-01-15T09:30:52.280Z,CITZ
CAPS Analytics Gateway,A gateway service to the Snowplow analytics service for BCGov OpenShift projects.,active,2021-04-27T02:43:33.358Z,CITZ
Student Aid Drupal,"StudentAid BC helps eligible students with the cost of their post secondary education through loans, grants, scholarships, and other programs.",active,2021-06-23T00:23:23.847Z,AEST
Data Science Lab,Toolset to support Data Science workflows..,active,2021-04-30T06:53:20.313Z,CITZ
TAFT,Tobacco And Fuel Tax Exemption Simplification Project,active,2021-07-06T06:24:28.582Z,FIN
Forest Operations Map,"The Forest Operations Map is a software application developed to meet legislative requirements resulting from Bill 21 Forest and Range Practices Amendment Act. Subsequent to Bill 21, new requirements in the Forest Planning and Practices Regulation (FPPR) to produce a Forest Operations Map (FOM) will come into force. In order to ensure compliance with new legislation and associated regulations, an online application to host FOM data is required.",active,2021-03-02T03:46:47.540Z,FLNR
BCSC Onboarding Self Service,Resources for teams to integrate an application or service with BC Services Card authentication services.,active,2021-02-24T04:57:48.982Z,CITZ
RSBC Driver Fitness Program,"Driver Fitness Program is a Case Management System solution serving primarily RSBC Adjudication Management for Medical Fitness review. The application will support various stakeholders including Drivers seeking information, Law Enforcement submitting reports, Licensed Healthcare Professionals submitting reviews, ICBC Agents seeking information and updates, and RSBC Agents adjudicating the results of medical fitness reviews.",active,2021-04-02T01:52:10.409Z,PSSG
PSAIntranetSites,Intranet sites for use by the Public Service Agency.,active,2021-06-03T01:14:04.158Z,PSA
Todays News Online,A news aggregation system that takes in news sources of varying types and provides a single location for clients to access the data.,active,2021-09-30T04:06:18.182Z,CITZ
GCPE Corporate Calendar,BC Government Corporate Calendar web application,active,2021-11-25T08:25:22.226Z,CITZ
AppAssessment,Provide immediate feedback on an app's compliance to BC Gov best practices for app configuration in OpenShift.,active,2021-11-10T03:11:37.079Z,CITZ
EForms Platform,"An electronic forms environment to support operations at RCYBC and BCOHRC, using the FormsFlow.io platform.",active,2021-10-14T03:04:46.043Z,CITZ
EnterpriseConnector,Ministry API Gateway that will host and catalogue the API inventory or the Ministry of Transportation.,active,2021-09-23T03:47:05.648Z,TRAN
Stack Development,A project for developing full stack applications such as PERN.,active,2021-08-26T01:41:43.065Z,CITZ
"CSB Prov Court Scheduling Integration ","A web application for Provincial Court staff to that is used as the provincial court schedule system (PCSS). Managed by Provincial Judiciary except for the web services to the JUSTIN database.
This is also used by Crown Counsel Schedule System (CCSS), A2A and DARS.",active,2021-09-06T02:04:31.924Z,AG
Traction,A multi tenanted enterprise digital wallet with an open api for accessing the capabilities to issue verify and hold verifiable credentials. powered by hyperledger aries. This is intended to be a hosted service for all of government  but will start out with a limited pilot in EMLI and ENV.,active,2021-11-30T23:38:42.556Z,EMPR
CSB eFiling API HUB,"The Court Services Branch generic file submission API enables efiling within the court system. This service will accept submissions from the Family Law Act Application in to the court system. ",active,2021-03-12T08:52:42.919Z,AG
Employee Relations,Public Service Agency case management tool,active,2021-11-27T05:35:53.314Z,PSA
Business Partner Agent,"A digital wallet solution using Hyperledger and Sovrin to issue verifiable credential directly to private digital wallets.  Exchange of verifiable credentials and digital proofs of those VCs is possible via a secure connection established between each BPA instance.  This component also enable peer to peer notifications, and features for publishing a public profile.",active,2021-03-06T03:18:17.646Z,EMPR
CSB eDivorce application,Court Services Branch eDivorce application is an interactive online application to walk a user through plain language questions to apply for and file a divorce application.,active,2021-02-12T16:44:50.792Z,AG
SPD Electronic Criminal Records Check,"The Security Programs Division Electronic Criminal Records Check allows applicants to apply for an eCRC through an online portal using their BC Services Card. ",active,2021-03-12T08:38:25.947Z,PSSG
Electronic Site Registry Application,"The province of British Columbia has a statutory requirement to make contaminated site information available to the public.  This is currently served by a mainframe app hosted on BC  Online.  That application will be redeveloped and deployed here
",active,2021-10-27T03:02:13.244Z,ENV
Health Career Access Program,The existing web app hcapparticipants.gov.bc.ca is being migrated to OCP4. This is a registration portal to express interest in the Health Career Access Program.,active,2021-04-07T03:00:36.138Z,HLTH
Platform Services Tools,A project set with quota to host some of the smaller platform services tools such as devhub and just ask,active,2021-04-28T23:18:14.336Z,CITZ
FOI Modernization,New system to modernize how government manages and responds to FOI requests.,active,2021-04-21T06:16:54.295Z,CITZ
BC Open Location  Services Route Planner,"The BC Route Planner is a REST web service that offers vehicle route plans that are based on the BC Digital Road Atlas. The BC Route Planner computes the shortest or fastest route between start and end points and returns the route, distance, time, and directions. The Route Planner can be used by any B.C. Government application. https://github.com/bcgov-dss/loc-tools/blob/main/ocp-namespace-docs/1475a9-namespace.md",active,2021-04-21T04:16:27.030Z,CITZ
OSBC Learning Portal,"A website to manage registration and account management for OSBC's online learning platform. ",active,2021-05-28T01:25:43.848Z,EDUC
MOH VVC ISSUER,Ministry of Health Verifiable Vaccination Credential Issuer,active,2021-05-12T04:47:45.099Z,HLTH
BCROS OPS,Namespace required from operational tools to support our cloud platform apps,active,2021-04-30T22:43:06.304Z,CITZ
CTHUB,"The Clean Transportation Data Hub provides an evidence base for the Clean Transportation Branch through data storage, analysis and visualization, that improves decision making to increase energy efficiency and decarbonise the transportation system. It aims to be the most comprehensive, reliable and accessible data management system for clean transportation in the world.",active,2021-09-25T00:44:19.336Z,EMPR
HNI Modernization Project,"Modernizing 20 year old software, middleware and infrastructure to support applications connecting to Ministry of Health systems.",active,2021-05-20T03:38:20.366Z,HLTH
FCBC Fider,"FrontCounter BC and Authorizations Provincial Team wants to implement Fider to collect, upvote, discuss and organize staff feedback. Fider would replace the current process of manually entering all feedback into an excel spreadsheet hosted on the FrontCounter BC SharePoint site.",active,2021-11-02T07:42:53.456Z,FLNR
CSB Supreme Court Scheduling Integration,"The Supreme Court Scheduling System (SCSS) is an application used by the Supreme Court Judiciary (SCJ) for scheduling and tracking court case information. This integration service integrates the SCSS application with the CEIS database. ",active,2021-09-06T01:54:48.271Z,AG
Common Hosted Anti Virus,"A hosted API for running virus scans on documents. ",active,2021-05-04T23:52:27.572Z,ENV
Time Machine,"A Project and Time Tracking application for cost recovery business areas.

The Treasury Board mandates that all provincial government procurement specialists use Time Machine to track their projects.",active,2021-03-27T06:55:18.015Z,CITZ
CAS AR Invoicing,A proof of concept project to demonstrate feasibility of direct connection to CAS to improve fee collection process.,active,2021-04-29T23:53:53.370Z,FLNR
